partido_id,temporada,local_goles,visitante_goles,tiros_local,tiros_visitante,tiros_apuerta_local,tiros_apuerta_visitante,posesion_local,posesion_visitante,corners_local,corners_visitante
720746,2021,1,0,4,22,2,4,26,74,1,9
720743,2021,1,1,7,12,2,3,43,57,2,4
720742,2021,1,1,6,9,2,0,34,66,3,3
720739,2021,1,4,11,19,4,7,41,59,0,4
720744,2021,0,0,14,10,1,3,53,47,4,6
720741,2021,1,2,10,13,2,5,53,47,2,5
720740,2021,4,2,13,11,8,3,62,38,5,3
720745,2021,3,0,21,4,8,3,75,25,4,0
720747,2021,0,0,14,6,4,1,61,39,6,2
720748,2021,0,0,8,9,2,3,50,50,6,8
720752,2021,1,1,16,8,7,3,74,26,4,5
720749,2021,0,1,9,12,4,2,47,53,1,8
720755,2021,0,0,14,12,3,2,40,60,9,7
720754,2021,1,1,9,18,2,7,46,54,2,6
720750,2021,1,1,16,9,7,3,33,67,13,2
720758,2021,1,0,13,9,8,1,61,39,5,4
720751,2021,1,0,8,4,4,2,42,58,2,1
720787,2021,3,0,11,13,5,3,50,50,5,3
720780,2021,0,0,14,6,2,0,55,45,5,5
720788,2021,1,1,9,11,2,6,54,46,4,7
720779,2021,0,2,8,13,3,5,56,44,2,8
720784,2021,0,0,10,11,1,3,34,66,3,1
720785,2021,0,0,11,11,4,4,47,53,5,6
720782,2021,2,2,23,11,9,4,60,40,10,4
720786,2021,1,2,12,18,4,10,39,61,2,5
720781,2021,1,1,17,5,6,2,77,23,12,4
720790,2021,1,2,7,12,1,4,32,68,2,5
720756,2021,3,3,8,20,4,5,39,61,4,6
720753,2021,0,1,12,9,0,3,39,61,5,4
720757,2021,0,0,15,4,7,0,46,54,1,2
720763,2021,1,0,12,8,6,3,47,53,2,2
720766,2021,3,0,9,9,4,2,49,51,4,4
720762,2021,0,1,13,6,0,2,62,38,5,4
720765,2021,1,0,7,6,2,0,52,48,2,2
720768,2021,1,1,7,18,4,5,29,71,5,3
720761,2021,0,1,12,13,6,3,51,49,3,7
720760,2021,2,1,7,8,3,3,67,33,3,2
720764,2021,2,3,7,14,3,4,27,73,4,11
720767,2021,4,0,19,9,6,3,47,53,5,6
720759,2021,2,2,23,2,4,2,49,51,16,0
720774,2021,1,1,7,22,2,6,45,55,2,5
720769,2021,2,0,19,7,5,1,48,52,7,2
720773,2021,1,2,9,13,3,3,42,58,6,3
720811,2021,1,0,11,6,7,2,53,47,8,3
720813,2021,0,0,2,16,1,4,32,68,1,3
720810,2021,2,0,6,9,3,2,29,71,2,6
720818,2021,1,0,12,10,5,1,45,55,7,4
720815,2021,2,1,8,18,4,4,35,65,2,8
720817,2021,2,0,11,10,5,3,58,42,4,6
720812,2021,1,1,9,10,2,5,38,62,2,5
720814,2021,1,0,3,14,1,3,32,68,2,6
720824,2021,0,0,6,14,2,4,53,47,3,11
720826,2021,1,0,10,7,2,1,50,50,2,6
720841,2021,0,2,14,11,6,4,57,43,7,6
720843,2021,1,1,18,6,3,4,77,23,5,0
720845,2021,2,2,10,7,3,3,35,65,5,2
720858,2021,1,2,13,17,4,5,44,56,5,4
720855,2021,2,0,16,10,4,3,64,36,4,5
720856,2021,2,0,9,11,3,1,25,75,7,6
720850,2021,1,1,16,3,5,2,79,21,9,0
720852,2021,1,1,13,11,2,5,44,56,6,5
720849,2021,3,0,18,8,9,1,47,53,13,0
720851,2021,2,1,12,10,7,3,44,56,6,11
720888,2021,1,3,14,12,2,6,50,50,4,4
720881,2021,3,1,26,8,8,2,60,40,5,8
720884,2021,1,0,8,10,2,4,40,60,2,9
