partido_id,temporada,local_goles,visitante_goles,tiros_local,tiros_visitante,tiros_apuerta_local,tiros_apuerta_visitante,posesion_local,posesion_visitante,corners_local,corners_visitante
877989,2022,1,4,9,16,2,8,47,53,5,5
877984,2022,2,1,8,13,3,6,33,67,3,7
877983,2022,1,0,16,14,5,3,47,53,9,8
877987,2022,0,1,7,15,2,4,61,39,5,10
877998,2022,0,1,18,7,6,1,58,42,8,2
878001,2022,1,0,5,9,2,3,45,55,5,2
877994,2022,3,0,25,1,9,1,77,23,6,0
877996,2022,3,0,14,6,7,2,66,34,5,4
877992,2022,3,2,14,11,7,2,39,61,2,7
878002,2022,2,3,14,14,6,7,44,56,4,2
878006,2022,0,2,14,20,3,6,61,39,5,7
878007,2022,0,1,13,11,3,3,28,72,5,5
878021,2022,0,0,12,4,3,1,59,41,3,1
878016,2022,2,2,8,9,3,6,53,47,8,3
878018,2022,1,0,17,5,5,1,60,40,9,3
878013,2022,1,0,13,14,5,3,58,42,6,3
878014,2022,1,1,7,11,2,4,42,58,5,7
878028,2022,0,0,17,6,3,3,65,35,4,1
878029,2022,1,1,23,9,6,2,65,35,6,2
878023,2022,1,2,10,8,3,6,54,46,1,6
878026,2022,3,1,8,18,4,5,43,57,2,3
878025,2022,1,0,15,14,3,2,49,51,6,4
878031,2022,3,1,16,12,6,5,55,45,9,3
878030,2022,2,0,12,14,9,3,58,42,8,4
878035,2022,1,1,18,13,5,5,64,36,11,6
878037,2022,2,2,11,14,4,4,41,59,7,4
878032,2022,1,1,12,14,4,4,53,47,3,4
878039,2022,4,1,9,22,7,5,38,62,3,7
878038,2022,0,0,13,12,3,3,40,60,4,9
878040,2022,1,0,14,12,7,3,51,49,10,7
878034,2022,0,3,10,10,3,7,38,62,8,2
878036,2022,3,2,13,14,7,5,34,66,4,5
878041,2022,1,0,17,5,5,3,65,35,9,2
878033,2022,3,0,16,5,5,1,70,30,8,0
878049,2022,5,1,28,3,11,0,62,38,10,1
878050,2022,1,0,9,20,2,2,25,75,4,10
878048,2022,1,2,13,10,3,5,68,32,5,3
878060,2022,0,1,10,15,4,5,63,37,6,6
878057,2022,0,1,3,13,2,2,33,67,3,10
878072,2022,3,0,19,8,6,0,43,57,10,2
878077,2022,1,2,15,9,3,3,47,53,3,6
878085,2022,2,0,14,3,6,0,56,44,4,2
878084,2022,1,1,17,7,5,5,44,56,5,6
878091,2022,1,1,12,19,6,10,49,51,3,2
878089,2022,0,2,14,19,4,7,39,61,5,9
878083,2022,1,1,21,4,6,1,78,22,10,2
878090,2022,2,1,14,13,8,4,53,47,5,2
878088,2022,2,0,9,11,2,3,51,49,3,2
878098,2022,0,1,13,14,5,7,57,43,8,4
878118,2022,1,0,8,10,3,3,42,58,4,6
877961,2022,1,1,13,12,3,7,55,45,6,5
877959,2022,3,1,12,7,6,3,67,33,5,2
877970,2022,0,1,11,11,3,6,54,46,2,4
877963,2022,1,0,7,12,1,2,55,45,2,4
877964,2022,0,1,12,9,5,5,45,55,4,6
877971,2022,0,2,15,9,0,4,65,35,7,3
877967,2022,2,1,11,13,5,5,32,68,5,2
877965,2022,0,0,8,11,2,6,35,65,1,4
877962,2022,4,0,24,8,9,3,68,32,14,4
877966,2022,1,3,15,19,4,6,36,64,7,7
877968,2022,0,4,9,20,3,8,37,63,0,6
877969,2022,0,1,12,13,2,7,71,29,6,2
877979,2022,3,0,9,7,5,0,58,42,2,2
877981,2022,1,1,10,10,4,4,52,48,6,3
878011,2022,4,0,17,8,4,2,59,41,11,2
878003,2022,0,0,10,14,2,6,40,60,6,5
878027,2022,2,2,20,8,8,6,60,40,6,1
878024,2022,0,1,9,4,5,1,43,57,1,3
878022,2022,0,1,13,3,3,1,61,39,6,1
878054,2022,2,0,20,7,10,2,48,52,1,8
878061,2022,1,1,19,8,6,2,58,42,7,1
878052,2022,1,0,19,6,7,3,43,57,6,2
878058,2022,0,2,14,10,7,4,58,42,5,3
878053,2022,0,1,12,8,5,3,59,41,6,2
878064,2022,1,2,13,8,5,4,62,38,2,3
878071,2022,2,0,27,4,13,1,70,30,9,1
878062,2022,1,1,27,6,7,2,67,33,12,2
878065,2022,1,1,9,14,4,3,27,73,1,11
878069,2022,0,2,9,7,2,5,71,29,5,2
878063,2022,1,1,9,22,4,6,37,63,1,4
878066,2022,3,2,15,16,7,2,45,55,4,5
878073,2022,1,2,11,21,2,3,45,55,2,5
878100,2022,0,1,11,6,2,2,74,26,13,2
878101,2022,2,1,17,13,5,3,49,51,6,5
878109,2022,1,0,15,6,4,2,62,38,3,1
878107,2022,3,1,11,6,5,2,58,42,4,2
878110,2022,1,2,10,10,2,4,62,38,5,1
878105,2022,1,1,14,12,3,7,55,45,3,4
878103,2022,1,1,16,12,3,5,50,50,3,6
878122,2022,2,0,11,9,4,2,42,58,6,2
878127,2022,0,1,8,8,2,3,40,60,4,2
878129,2022,3,0,22,6,8,1,81,19,5,2
878128,2022,0,1,6,13,1,2,38,62,6,1
878130,2022,1,0,13,15,6,2,53,47,4,7
878161,2022,6,2,14,16,8,4,52,48,1,7
878160,2022,1,1,9,18,3,4,55,45,3,7
878153,2022,2,1,16,17,10,3,47,53,4,6
878155,2022,4,2,13,8,5,4,45,55,4,4
878157,2022,0,2,11,11,4,6,47,53,5,5
878154,2022,0,1,19,11,5,4,46,54,10,5
878158,2022,1,1,18,7,5,2,58,42,7,3
878159,2022,1,0,17,8,5,2,57,43,6,5
878152,2022,2,0,16,14,5,4,65,35,5,6
878156,2022,1,0,15,8,6,3,46,54,4,5
877976,2022,2,1,22,8,5,4,50,50,9,2
877974,2022,1,1,12,15,5,7,55,45,7,6
877982,2022,4,1,10,14,4,3,46,54,4,7
877997,2022,0,2,12,10,4,4,56,44,8,1
878000,2022,1,1,17,12,7,1,46,54,6,4
877995,2022,2,1,9,9,3,3,44,56,2,4
877999,2022,2,1,14,14,6,4,63,37,4,2
877993,2022,1,2,12,6,4,3,53,47,8,1
878067,2022,2,1,19,11,10,7,42,58,7,1
878132,2022,4,1,17,15,9,3,42,58,0,3
878138,2022,1,1,9,9,4,3,40,60,4,3
878136,2022,3,1,18,14,7,2,28,72,6,10
878133,2022,1,1,12,9,4,1,63,37,8,0
878135,2022,3,4,15,9,7,7,55,45,5,5
878137,2022,1,0,4,20,1,1,26,74,1,12
878140,2022,1,0,20,8,8,4,52,48,8,4
878139,2022,0,1,15,7,4,2,55,45,0,4
878134,2022,3,0,16,3,7,1,65,35,8,3
878141,2022,2,0,15,14,11,5,49,51,3,7
878187,2022,0,1,6,14,4,4,50,50,1,3
878198,2022,1,3,15,16,3,6,48,52,2,9
878197,2022,1,1,17,10,5,4,67,33,5,2
878201,2022,2,2,15,12,3,4,47,53,3,5
878199,2022,1,3,11,8,3,4,56,44,4,1
878192,2022,3,0,14,9,6,1,56,44,4,2
878194,2022,1,0,10,5,3,1,60,40,4,4
878200,2022,2,0,17,4,4,3,61,39,5,3
878196,2022,0,3,10,12,2,6,55,45,7,1
878195,2022,2,0,15,11,4,4,37,63,4,1
878207,2022,0,4,15,12,2,6,41,59,11,3
878211,2022,2,2,21,8,5,3,57,43,4,1
878206,2022,6,0,29,12,17,2,60,40,9,1
878209,2022,2,0,16,16,4,3,52,48,4,4
878203,2022,1,0,13,6,7,2,54,46,5,1
878210,2022,1,1,18,7,4,2,61,39,13,3
878229,2022,2,1,12,8,3,4,46,54,2,3
878226,2022,1,2,22,14,7,7,70,30,8,5
878222,2022,2,0,13,13,5,4,51,49,5,2
878223,2022,3,1,15,13,8,4,52,48,4,13
878227,2022,0,0,5,15,1,3,34,66,1,5
878231,2022,2,1,19,3,7,1,65,35,9,2
878230,2022,0,2,13,6,3,3,60,40,6,2
878224,2022,0,1,12,8,3,2,73,27,7,5
878239,2022,0,0,14,11,5,2,57,43,6,4
878236,2022,3,2,10,21,5,6,38,62,5,13
878234,2022,1,2,12,14,4,3,53,47,3,4
878240,2022,2,1,7,7,1,2,61,39,3,3
878241,2022,1,0,15,12,6,6,39,61,5,7
878237,2022,2,0,17,12,5,2,66,34,8,3
878238,2022,3,1,8,3,4,1,49,51,2,2
878233,2022,2,1,17,17,4,5,38,62,5,3
878248,2022,4,2,13,18,5,3,28,72,3,8
878246,2022,0,1,20,6,4,4,56,44,11,2
878244,2022,0,0,11,10,1,3,58,42,2,4
878243,2022,3,1,24,6,9,2,68,32,5,8
878251,2022,1,2,21,23,9,11,45,55,4,6
878259,2022,3,1,9,14,3,5,52,48,4,9
878255,2022,1,0,17,7,8,2,57,43,6,3
878258,2022,2,5,19,9,6,6,57,43,9,1
878272,2022,3,1,11,16,5,4,49,51,6,5
878285,2022,2,0,11,6,4,2,47,53,4,3
878301,2022,1,0,15,2,2,2,73,27,10,2
878298,2022,3,1,8,16,4,6,30,70,2,6
878299,2022,2,0,13,16,7,8,65,35,7,6
878300,2022,2,1,12,15,3,6,61,39,5,2
878294,2022,1,1,20,9,7,3,72,28,9,5
878297,2022,3,3,26,16,13,7,45,55,16,1
878292,2022,0,1,11,9,4,2,71,29,2,5
878295,2022,1,0,4,15,3,5,40,60,2,4
878320,2022,3,3,12,11,8,4,63,37,7,5
878312,2022,1,1,8,10,3,3,61,39,4,4
878318,2022,0,0,15,4,0,1,80,20,6,1
878319,2022,1,1,12,14,5,3,67,33,7,4
878070,2022,0,0,13,15,2,4,53,47,5,5
878068,2022,2,1,16,4,11,2,51,49,8,4
878094,2022,1,0,13,9,4,1,42,58,6,2
878095,2022,2,2,12,12,6,5,44,56,5,2
878096,2022,0,2,6,9,1,6,44,56,4,2
878097,2022,1,2,15,14,3,3,62,38,5,7
878099,2022,2,1,11,11,5,2,58,42,3,4
878093,2022,0,1,20,10,5,2,41,59,7,4
878092,2022,0,0,17,3,3,1,60,40,14,1
878102,2022,1,1,21,3,8,1,51,49,13,3
878123,2022,0,0,20,8,7,3,61,39,10,3
878131,2022,0,1,12,11,3,3,62,38,5,4
878108,2022,1,2,5,13,1,3,36,64,1,6
878104,2022,2,0,19,4,8,0,71,29,6,6
878168,2022,2,3,4,21,2,9,35,65,3,3
878165,2022,2,1,9,15,3,4,39,61,0,4
878111,2022,0,1,9,13,2,6,45,55,4,8
878106,2022,2,1,19,10,7,2,46,54,5,1
878126,2022,0,1,14,13,4,5,52,48,5,4
878125,2022,1,0,9,5,3,0,49,51,2,5
878164,2022,1,0,5,11,3,2,42,58,4,6
878167,2022,1,1,18,7,7,1,62,38,7,4
878171,2022,1,0,8,11,3,3,37,63,7,8
878162,2022,2,3,17,8,3,4,60,40,11,3
878163,2022,3,0,18,6,4,3,53,47,5,4
878170,2022,2,3,22,11,8,4,67,33,10,2
878169,2022,2,1,11,8,5,3,64,36,6,5
878180,2022,0,0,15,6,3,2,72,28,3,0
878175,2022,3,2,10,9,6,7,39,61,3,3
878176,2022,0,2,6,16,0,6,29,71,2,10
878179,2022,0,1,14,15,3,6,56,44,6,7
878172,2022,6,1,18,8,8,1,47,53,7,3
878181,2022,2,1,15,12,5,2,44,56,9,6
878191,2022,2,1,27,13,5,5,56,44,6,4
878188,2022,1,1,15,6,4,3,57,43,2,4
878166,2022,1,0,6,13,4,1,28,72,4,7
878182,2022,0,1,15,10,5,2,37,63,5,3
878193,2022,2,1,17,11,7,3,54,46,8,1
878204,2022,0,0,10,11,1,2,42,58,2,3
878208,2022,2,1,14,5,4,1,62,38,5,2
878202,2022,0,0,16,10,3,1,65,35,13,3
878205,2022,0,2,14,11,3,5,50,50,8,4
878225,2022,0,2,12,35,3,11,31,69,2,9
878228,2022,2,0,14,13,4,5,48,52,3,4
878311,2022,1,2,11,6,1,3,33,67,1,1
878304,2022,3,0,28,3,9,1,78,22,14,3
878303,2022,2,1,11,10,5,5,50,50,6,4
878302,2022,0,1,27,6,8,2,64,36,19,3
878310,2022,2,2,19,9,4,5,53,47,10,3
878305,2022,2,1,16,10,6,2,50,50,1,1
878309,2022,1,2,9,18,3,7,54,46,8,5
878308,2022,0,0,23,8,7,2,49,51,2,4
878306,2022,1,0,13,9,3,4,49,51,3,3
878307,2022,2,1,15,7,4,2,31,69,4,6
878232,2022,0,2,7,5,1,3,66,34,11,6
878235,2022,1,0,13,13,4,3,62,38,3,3
878257,2022,1,1,9,16,2,6,30,70,5,7
878261,2022,0,2,23,9,5,3,64,36,6,1
878264,2022,1,0,21,7,4,2,76,24,11,0
878267,2022,2,1,10,14,4,1,47,53,7,13
878271,2022,2,0,9,10,4,5,53,47,2,6
878265,2022,1,1,8,11,1,4,32,68,6,6
878263,2022,5,1,18,2,8,1,61,39,5,2
878268,2022,2,1,17,8,7,2,63,37,9,5
878262,2022,0,1,21,12,6,2,63,37,13,2
878266,2022,2,1,16,7,6,4,51,49,3,4
878278,2022,1,0,8,14,3,4,43,57,3,7
878281,2022,2,2,18,13,6,6,51,49,7,4
878280,2022,3,1,18,8,7,3,56,44,4,1
878274,2022,5,1,17,11,11,5,57,43,7,5
878277,2022,1,0,16,9,3,2,77,23,1,3
878273,2022,1,2,10,12,6,5,64,36,5,4
878275,2022,1,0,15,13,4,4,50,50,3,5
878269,2022,1,0,14,7,4,1,34,66,1,5
878270,2022,3,2,18,7,6,3,64,36,9,0
878279,2022,0,3,28,17,6,5,55,45,8,3
878276,2022,2,4,15,15,7,5,30,70,4,3
878296,2022,2,0,9,10,3,5,49,51,3,6
878316,2022,2,2,22,9,7,3,66,34,12,1
878315,2022,1,1,9,15,2,9,64,36,5,6
878314,2022,2,1,17,9,6,4,56,44,5,2
878321,2022,2,1,14,11,7,6,37,63,5,2
878313,2022,3,0,8,21,4,4,47,53,2,6
878317,2022,2,1,12,9,9,2,27,73,2,4
